##NAME|SUBNAME|NEWADDR|FEAT|SHOPCODE|X|Y@@GS25
GS25|당진로드점|충남 당진시 송산로222-9 (원당동 574)|cafe25;instant;post;withdrawal|VP683|36.9177104|126.64932537
GS25|당진보람점|충남 당진시 송악읍 신평로1469, 동부제철 사원아파트 단지내 (중흥리 886, 동부제강(주)사원임대아파트)|cafe25;drug;post;withdrawal|VR390|36.93122222|126.74414812
GS25|당진복운점|충남 당진시 송악읍 신복운로4길6-43 (복운리 1649-5)|cafe25;instant;drug;post;atm;withdrawal|VY515|36.94357691|126.78313705
GS25|당진비발디점|충남 당진시 원당로49 (원당동 848-2)|cafe25;drug;post;withdrawal|VR632|36.90591739|126.64243052
GS25|당진빌리지점|충남 당진시 무수동4길9 (읍내동 895, 진영)|cafe25;bakery;instant;drug;post;withdrawal|VG081|36.89271509|126.63761588
GS25|당진삼봉점|충남 당진시 석문면 대호만로1746 (삼봉리 923-4)|cafe25;drug;post;withdrawal|VP183|37.01319733|126.53662047
GS25|당진삽교호점|충남 당진시 신평면 삽교천3길89(운정리 188-4)||VL406|36.88988865|126.82527451
GS25|당진석문로드점|충남 당진시 석문면통정리 65-3번지|cafe25;withdrawal|VU444|36.97935578|126.60575861
GS25|당진석문점|충남 당진시 석문면 통정3길33 (통정리 351-4)|cafe25;drug;post;withdrawal|VL922|36.97888051|126.59221089
GS25|당진석문주공점|충남 당진시 석문면 해명1로200, 상가동 102호 103호 (통정리 1733, LH천년나무2단지아파트)|cafe25;instant;drug;post;withdrawal|VS047|36.98079211|126.58852535
GS25|당진석문천년점|충남 당진시 석문면 해명1로199, 103,104호 (통정리 1725, 상가동)|cafe25;instant;drug;post;withdrawal|VT690|36.98091778|126.58545676
GS25|당진세한대점|충남 당진시 신평면 남산길71-226 (남산리 2-7, 세한대학교 기숙사)|instant;post;withdrawal|VW144|36.87899993|126.78024771
GS25|당진송산점|충남 당진시 송산면 틀모시로1122 (상거리 253-9)|cafe25;drug;post;withdrawal|V2P72|36.92906523|126.68229269
GS25|당진송산타운점|충남 당진시 송산면 송산로837 (유곡리 212-28)|cafe25;post;withdrawal|VU704|36.96123534|126.69704361
GS25|당진신성대점|충남 당진시 정미면 대학로3 (덕마리 246)|instant;drug;post;withdrawal|VP123|36.85220555|126.59694826
GS25|당진양우내안점|충남 당진시 채운동1152번지|cafe25;instant;drug;post;withdrawal|VX496|36.8876522|126.62132739
GS25|당진왜목마을점|충남 당진시 석문면 왜목길30 (교로리 844-15)|cafe25;withdrawal|VS223|37.04458416|126.52660935
GS25|당진우두점|충남 당진시 우두로1길5-7, 1층 (우두동 1411)|cafe25;instant;drug;post;withdrawal|VP416|36.90151216|126.63232065
GS25|당진우민점|충남 당진시 수청로300-20, 1층 (시곡동 134-2)|cafe25;instant;drug;post|VX948|36.90250929|126.67579288
GS25|당진원당점|충남 당진시 밤절로146, 1층(수청동 982, 원당그린상가)|drug;post;withdrawal;smart_atm|VX647|36.9014858|126.64575167
GS25|당진읍내중앙점|충남 당진시 무수동로77 (읍내동 1317)|instant;drug;post;withdrawal|VS602|36.88890353|126.63684225
GS25|당진이안점|충남 당진시 무수동7길90 (읍내동 1096)|instant;drug;post|VY094|36.89016489|126.64075752
GS25|당진이편한점|충남 당진시 송악읍 반촌로103, 106동 107호 (가학리 690, 대림e편한세상근린생활시설동)|cafe25;instant;drug;post|VS029|36.90560436|126.69408545
GS25|당진정미점|충남 당진시 정미면 4.4만세로706 (천의리 252-14)|cafe25;post;withdrawal|VR184|36.88478633|126.56722005
GS25|당진제철점|충남 당진시 송악읍 대섬길4-13(고대리 167-115)|cafe25;instant;drug;post;withdrawal|VK586|36.98041803|126.72341465
GS25|당진중앙점|충남 당진시 당진중앙1로121 (읍내동 489-11)|bakery;instant;drug;post;withdrawal;smart_atm|VI452|36.89526429|126.63048001
GS25|당진중흥점|충남 당진시 송악읍 송악로690,  105호(중흥리 233-5)|cafe25;instant;drug;post;withdrawal;smart_atm;self_cook|V5913|36.93965638|126.74668148
GS25|당진채운점|충남 당진시 서부로246 (채운동 267-4, 대영자동차유리)|cafe25;bakery;instant;drug;post;withdrawal;jella_soft|VN094|36.89456146|126.6242435
