##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD@@SC제일은행
SC제일은행|죽전동지점||대구광역시 달서구 감삼동 68-7|대구광역시 달서구 달구벌대로 1611 (감삼동 68-7)|2595|848398|656945
SC제일은행|침산동지점||대구광역시 북구 침산2동 13-54|대구광역시 북구 침산남로 201 (침산2동 13-54)|2592|860687|666729
SC제일은행|대전지점||대전광역시 동구 중동 27-9|대전광역시 동구 중앙로 186 (중동 27-9)|2649|596524|786852
SC제일은행|둔산지점||대전광역시 서구 둔산동 1299|대전광역시 서구 둔산서로 79 (둔산동 1299)|2674|585839|793439
SC제일은행|둔산중앙지점||대전광역시 서구 둔산1동 1499|대전광역시 서구 문예로 39 (둔산1동 1499)|2722|587474|792447
SC제일은행|서대전지점||대전광역시 중구 태평2동 551|대전광역시 중구 태평로 35 (태평2동 551)|2653|588096|784202
SC제일은행|대연동지점||부산광역시 남구 대연1동 327-12|부산광역시 남구 수영로 260 (대연1동 327-12)|2577|977412|460262
SC제일은행|덕천동지점||부산광역시 북구 덕천동 388-1|부산광역시 북구 만덕대로90번길 13 (덕천동 388-1)|2581|958699|481276
SC제일은행|범일동지점||부산광역시 동구  |부산광역시 동구 조방로 39 ( )|2573|969548|461429
SC제일은행|벡스코지점||부산광역시 해운대구 우동 1519|부산광역시 해운대구 센텀남대로 50 (우동 1519)|5256|985423|469611
SC제일은행|부산지점||부산광역시 중구 중앙동3가 18-1|부산광역시 중구 대청로 135 (중앙동3가 18-1)|2571|963837|451042
SC제일은행|부산/베네시티지점||부산광역시 해운대구 우1동 1432|부산광역시 해운대구 해운대해변로 163 (우1동 1432)|4099|989759|466929
SC제일은행|부산역지점||부산광역시 동구 초량동 1211-1|부산광역시 동구 중앙대로 176 (초량동 1211-1)|2575|964701|453796
SC제일은행|부전동지점||부산광역시 부산진구  |부산광역시 부산진구 중앙대로 694 ( )|2574|969142|465504
SC제일은행|신세계/센텀시티/뱅크샵지점||부산 해운대구 우동 1495|부산 해운대구 센텀남대로 35 (우동 1495)|7328|985042|469765
SC제일은행|연산동지점||부산광역시 연제구 연산1동 584-16|부산광역시 연제구 반송로 41 (연산1동 584-16)|2582|974700|475009
SC제일은행|온천동출장소||부산광역시 동래구 온천동 210-83|부산광역시 동래구 금강공원로 42 (온천동 210-83)|2578|973416|483415
SC제일은행|장림동지점||부산광역시 사하구 장림동 282|부산광역시 사하구 다대로 288 (장림동 282)|2588|950770|443481
SC제일은행|창선동지점||부산광역시 중구 창선동2가 45-7|부산광역시 중구 중구로 16-1 (창선동2가 45-7)|2572|962327|449940
SC제일은행|초읍동지점||부산광역시 부산진구 초읍동 268-4|부산광역시 부산진구 새싹로 212 (초읍동 268-4)|2580|966664|471125
SC제일은행|가락중앙지점||서울특별시 송파구 가락동 88-3|서울특별시 송파구 중대로9길 39 (가락동 88-3)|2463|526138|1110290
SC제일은행|강남PB센터||서울특별시 강남구 도곡동 467-12|서울특별시 강남구 남부순환로 2806 (도곡동 467-12)|5247|511759|1108260
SC제일은행|강남역지점||서울특별시 강남구 역삼2동 820-9|서울특별시 강남구 강남대로 406 (역삼2동 820-9)|2447|506102|1110964
SC제일은행|강남파이낸스지점||서울특별시 강남구 역삼1동 737 강남파이낸스센터|서울특별시 강남구 테헤란로 152 (역삼1동 737 강남파이낸스센터)|2554|508140|1111294
SC제일은행|강동역지점||서울특별시 강동구 성내동 199-10|서울특별시 강동구 천호대로 1102 (성내동 199-10)|5289|529522|1121043
SC제일은행|개봉동지점||서울특별시 구로구 개봉동 403-84|서울특별시 구로구 개봉로 33-1 (개봉동 403-84)|2505|468160|1108168
