##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스블루핸즈
현대차블루핸즈|군위1급종합정비공장|||현대자동차서비스블루핸즈|054-3834567|경상북도 군위군 군위읍 경북대로 3605||||||||현대차블루핸즈 군위1급종합정비공장||||160405
현대차블루핸즈|권선점|||현대자동차서비스블루핸즈|031-2137114|경기도 수원시 권선구 세권로 133||||||||현대차블루핸즈 권선점|(권선동)|||160405
현대차블루핸즈|금강자동차정비공업사|||현대자동차서비스블루핸즈|031-6559535|경기도 안성시 공도읍 서동대로 4344||||||||현대차블루핸즈 금강자동차정비공업사||||160405
현대차블루핸즈|금곡점|||현대자동차서비스블루핸즈|051332-0303|부산광역시 북구 금곡대로 604||||||||현대차블루핸즈 금곡점|(금곡동)|||160405
현대차블루핸즈|금곡점|||현대자동차서비스블루핸즈|031-5916002|경기도 남양주시 경춘로 941||||||||현대차블루핸즈 금곡점|(금곡동)|||160405
현대차블루핸즈|금광점|||현대자동차서비스블루핸즈|031734-3533|경기도 성남시 중원구 광명로 382-1||||||||현대차블루핸즈 금광점|(금광동)|||160405
현대차블루핸즈|금남자동차공업사|||현대자동차서비스블루핸즈|02-5642500|서울특별시 강남구 테헤란로 14길 17||||||||현대차블루핸즈 금남자동차공업사|(역삼동)|||160405
현대차블루핸즈|금릉점|||현대자동차서비스블루핸즈|043-8518787|충청북도 충주시 국원대로 254||||||||현대차블루핸즈 금릉점|(금릉동)|||160405
현대차블루핸즈|금산점|||현대자동차서비스블루핸즈|041-7546426|충청남도 금산군 금성면 안비범길 14||||||||현대차블루핸즈 금산점||||160405
현대차블루핸즈|금산점|||현대자동차서비스블루핸즈|055-7632988|경상남도 진주시 금산면 금산로 66||||||||현대차블루핸즈 금산점||||160405
현대차블루핸즈|금성자동차공업사|||현대자동차서비스블루핸즈|031376-8585|경기도 오산시 내삼미로 9||마이티;카운티;쏠라티||||||현대차블루핸즈 금성자동차공업사|(수청동)|||160405
현대차블루핸즈|금암점|||현대자동차서비스블루핸즈|063-2522746|전라북도 전주시 덕진구 백제대로 605||||||||현대차블루핸즈 금암점|(금암동)|||160405
현대차블루핸즈|금오중부점|||현대자동차서비스블루핸즈|031-8211514|경기도 의정부시 호국로1519번길 7||||||||현대차블루핸즈 금오중부점|(금오동)|||160405
현대차블루핸즈|금옥자동차공업사|||현대자동차서비스블루핸즈|02-8974100|경기도 광명시 구름산로 11||||||||현대차블루핸즈 금옥자동차공업사|(하안동)|||160405
현대차블루핸즈|금왕점|||현대자동차서비스블루핸즈|043877-8419|충청북도 음성군 금왕읍 금석로24번길 2||||||||현대차블루핸즈 금왕점||||160405
현대차블루핸즈|금정점|||현대자동차서비스블루핸즈|031456-4567|경기도 군포시 번영로 614||||||||현대차블루핸즈 금정점|(금정동)|||160405
현대차블루핸즈|금촌동부점|||현대자동차서비스블루핸즈|031-9438333|경기도 파주시 시청로 59||||||||현대차블루핸즈 금촌동부점|(아동동)|||160405
현대차블루핸즈|금촌북부점|||현대자동차서비스블루핸즈|031-9458204|경기도 파주시 시청로 229||||||||현대차블루핸즈 금촌북부점|(금촌동)|||160405
현대차블루핸즈|금촌점|||현대자동차서비스블루핸즈|031-9456622|경기도 파주시 평화로 4||||||||현대차블루핸즈 금촌점|(금촌동)|||160405
현대차블루핸즈|금호점|||현대자동차서비스블루핸즈|054336-8202|경상북도 영천시 금호읍 금호로 25-1||||||||현대차블루핸즈 금호점||||160405
현대차블루핸즈|금호점|||현대자동차서비스블루핸즈|062-6557988|광주광역시 서구 금화로 48||||||||현대차블루핸즈 금호점|(금호동)|||160405
현대차블루핸즈|기장교리점|||현대자동차서비스블루핸즈|051723-0008|부산광역시 기장군 기장읍 차성로418번길 13||||||||현대차블루핸즈 기장교리점||||160405
현대차블루핸즈|기장점|||현대자동차서비스블루핸즈|051-7228383|부산광역시 기장군 기장읍 기장대로 447||||||||현대차블루핸즈 기장점||||160405
현대차블루핸즈|길동동부점|||현대자동차서비스블루핸즈|02-4855656|서울특별시 강동구 명일로 195||||||||현대차블루핸즈 길동동부점||||160405
현대차블루핸즈|김량장점|||현대자동차서비스블루핸즈|031-3364947|경기도 용인시 처인구 중부대로 1434||||||||현대차블루핸즈 김량장점|(김량장동)|||160405
현대차블루핸즈|나주현대서비스|||현대자동차서비스블루핸즈|061-3349999|전라남도 나주시 금천면 영산로 5851||||||||현대차블루핸즈 나주현대서비스||||160405
현대차블루핸즈|낙양점|||현대자동차서비스블루핸즈|031-8215682|경기도 의정부시 용민로303번길 10||||||||현대차블루핸즈 낙양점|에이동 (낙양동)|||160405
현대차블루핸즈|난곡점|||현대자동차서비스블루핸즈|02-856-8204|서울특별시 관악구 난곡로 124-1||||||||현대차블루핸즈 난곡점|(신림동)|||160405
현대차블루핸즈|남가좌동부점|||현대자동차서비스블루핸즈|02-3049434|서울특별시 서대문구 모래내로 255||||||||현대차블루핸즈 남가좌동부점|(남가좌동)|||160405
현대차블루핸즈|남문점|||현대자동차서비스블루핸즈|041-6740477|충청남도 태안군 태안읍 환동로 54||||||||현대차블루핸즈 남문점||||160405
